D_TRA1_1_SPOT,D_TRA1_CASE,D_TRA1_SMONTH,D_TRA1_SDAY,D_TRA1_EMONTH,D_TRA1_EDAY,D_TRA1_S_Day,D_TRA1_COST,D_TRA1_NUM,D_TRA1_ONE_COST,A1_1,A4_1,A5_1,A5_2,A5_3,A5_4,A5_5,A5_6,A5_7,A5_8,A5_9,A5_10,A5_11,A5_12,A5_13,A5_14,A5_15,A5_16,A5_17,A5_18,A5_19,A5_20,A5_21,A7,A7B_1,A7B_2,A7B_3,A7B_4,A7B_5,A7B_6,A7B_7,A9,NA9,BSEX,BAGE,SAGE,BEDU,BFAM,total
38090.0,171.0,1074.0,2537.0,1074.0,2658.0,121.0,66715000.0,520.0,24739173.0,211,893,162.0,150.0,30.0,64.0,40.0,834.0,7.0,48.0,45.0,0.0,22.0,12.0,0.0,0.0,90.0,160.0,119.0,126.0,57.0,0.0,42.0,625,78.0,14.0,270.0,12.0,15.0,0.0,0.0,70964489,22534291,248,600,6844,627,429,53
35010.0,169.0,1105.0,2710.0,1105.0,2765.0,55.0,35183000.0,390.0,16579253.0,245,889,127.0,254.0,6.0,140.0,40.0,558.0,7.0,176.0,144.0,0.0,11.0,48.0,52.0,0.0,435.0,352.0,85.0,162.0,0.0,0.0,0.0,514,66.0,8.0,291.0,8.0,10.0,0.0,0.0,35850595,15137409,270,562,6448,621,428,37
36310.0,143.0,992.0,1957.0,992.0,1979.0,22.0,21425667.0,326.0,10626751.0,166,756,127.0,198.0,12.0,8.0,45.0,546.0,7.0,40.0,36.0,0.0,11.0,12.0,0.0,0.0,195.0,128.0,34.0,180.0,19.0,0.0,0.0,494,80.0,4.0,153.0,8.0,30.0,0.0,0.0,24705891,9793423,218,503,5721,502,364,65
35020.0,133.0,800.0,2055.0,801.0,2062.0,37.0,31850000.0,345.0,12660500.0,158,682,115.0,208.0,24.0,76.0,20.0,438.0,14.0,80.0,18.0,0.0,22.0,12.0,13.0,0.0,195.0,304.0,51.0,144.0,0.0,0.0,0.0,430,74.0,8.0,162.0,8.0,10.0,0.0,0.0,32536801,12047084,195,496,5598,479,335,38
35380.0,129.0,866.0,2034.0,866.0,2090.0,56.0,30228000.0,323.0,12968250.0,155,513,121.0,186.0,15.0,32.0,10.0,522.0,21.0,72.0,9.0,0.0,11.0,0.0,26.0,0.0,60.0,192.0,85.0,72.0,0.0,0.0,21.0,416,75.0,2.0,138.0,4.0,10.0,0.0,0.0,29558007,11566211,187,499,5686,455,317,65
23310.0,121.0,769.0,1932.0,770.0,1938.0,36.0,24813000.0,334.0,10389834.0,139,533,104.0,148.0,21.0,60.0,5.0,420.0,84.0,8.0,0.0,0.0,22.0,0.0,52.0,0.0,60.0,32.0,68.0,18.0,19.0,0.0,0.0,388,57.0,2.0,186.0,0.0,20.0,0.0,0.0,24434514,9382338,190,443,5066,434,301,29
34020.0,121.0,816.0,1909.0,816.0,1924.0,15.0,15243000.0,306.0,6276251.0,171,624,108.0,176.0,18.0,120.0,5.0,438.0,14.0,72.0,36.0,0.0,0.0,0.0,143.0,0.0,45.0,32.0,0.0,72.0,38.0,0.0,0.0,369,60.0,6.0,156.0,8.0,5.0,0.0,0.0,14531898,6102366,174,483,5431,427,301,29
33380.0,118.0,779.0,1696.0,779.0,1759.0,63.0,32912000.0,316.0,13624087.0,137,569,106.0,152.0,36.0,68.0,25.0,444.0,21.0,48.0,27.0,0.0,11.0,0.0,52.0,0.0,105.0,144.0,0.0,54.0,0.0,0.0,0.0,382,61.0,2.0,162.0,16.0,10.0,0.0,0.0,36362803,13099259,173,448,5021,411,309,41
31200.0,115.0,757.0,1818.0,757.0,1828.0,10.0,17764000.0,317.0,7051646.0,141,535,99.0,122.0,18.0,0.0,45.0,390.0,0.0,128.0,45.0,0.0,11.0,12.0,26.0,0.0,45.0,32.0,34.0,36.0,0.0,0.0,0.0,359,52.0,4.0,198.0,0.0,0.0,0.0,0.0,17623808,6520768,175,417,4815,422,297,30
38080.0,111.0,739.0,1603.0,739.0,1641.0,38.0,18472000.0,288.0,8340081.0,142,562,92.0,68.0,9.0,40.0,15.0,522.0,0.0,16.0,18.0,10.0,0.0,12.0,169.0,0.0,15.0,160.0,17.0,108.0,0.0,20.0,21.0,354,44.0,0.0,168.0,4.0,30.0,12.0,0.0,17544014,6967788,159,421,4752,390,272,13
35330.0,108.0,734.0,1585.0,735.0,1613.0,59.0,31672000.0,269.0,13119960.0,189,464,100.0,110.0,72.0,72.0,35.0,486.0,14.0,32.0,27.0,0.0,33.0,12.0,91.0,0.0,60.0,176.0,34.0,18.0,0.0,0.0,0.0,366,49.0,6.0,162.0,4.0,20.0,0.0,0.0,31995998,11949750,157,361,4062,392,268,39
31270.0,105.0,626.0,1535.0,626.0,1562.0,27.0,17882000.0,272.0,7706658.0,133,475,91.0,118.0,9.0,4.0,30.0,372.0,112.0,24.0,27.0,0.0,11.0,12.0,0.0,0.0,15.0,0.0,17.0,18.0,0.0,0.0,0.0,362,57.0,2.0,132.0,4.0,20.0,0.0,0.0,18777399,7234258,171,416,4697,378,266,28
